Genome,genomeId,sampleId,sampleName,AssemblyAccession,AssemblyName,SpeciesName,taxonomy_check_status,strain,virulence,virulence_pcr,geo_loc_country,continent,host,isolation_source,collection_year,collected_by,env_broad_scale,type_material,source,representative_status,sample_type,length,N50,L50,n_contigs,nodepath.ani_upgma,nodepath.ani_nj,nodepath.kmer_upgma,nodepath.kmer_nj,nodepath.core_snp_ml
322,g_322,GCF_002920025.1_ASM292002v1,GCF_002920025.1,GCF_002920025.1,ASM292002v1,P. atrosepticum,OK,PB72,NA,NA,Russian Federation,Europe,Solanum tuberosum,plant pathogenic material,2014,Phytoengineering Ltd,NA,NA,NCBI,NA,cell culture,4985078,238550,6,50,n1;n2;n3;n377;n430;n431;n432;n433;n434;n443;g_322,n1;n453;n180;n181;n234;n235;n236;n237;n238;n247;n248;g_322,n1;n2;n3;n4;n378;n379;n380;n381;n382;n391;n392;g_322,n1;n453;n252;n253;n254;n255;n256;n257;n266;n267;g_322,n1;n453;n13;n12;n48;n101;n102;n103;n104;n113;n114;g_322
323,g_323,GCF_002904255.1_ASM290425v1,GCF_002904255.1,GCF_002904255.1,ASM290425v1,P. odoriferum,OK,T5,NA,NA,China,Asia,Chinese cabbage,NA,2010,YuTian,NA,NA,NCBI,NA,NA,5129710,254985,6,74,n1;n2;n3;n4;n5;n6;n194;n319;n320;n321;n333;n334;n335;g_323,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n138;n139;n140;g_323,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n334;n335;n338;g_323,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n360;n361;n364;g_323,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n424;n425;g_323
324,g_324,GCF_002904225.1_ASM290422v1,GCF_002904225.1,GCF_002904225.1,ASM290422v1,P. odoriferum,OK,S6,NA,NA,China,Asia,Chinese cabbage,NA,2010,YuTian,NA,NA,NCBI,NA,NA,4869321,282525,5,48,n1;n2;n3;n4;n5;n6;n194;n319;n320;n321;n322;n323;n324;n325;n326;n327;g_324,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n127;n128;n129;n130;n131;n132;g_324,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n322;n323;n324;n325;n326;n327;n328;g_324,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n349;n350;n356;n357;n358;g_324,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n411;n412;n413;n414;n423;g_324
325,g_325,GCF_002904195.1_ASM290419v1,GCF_002904195.1,GCF_002904195.1,ASM290419v1,P. odoriferum,OK,Q166,NA,NA,China,Asia,Apium graveolens,NA,2014,YuTian,NA,NA,NCBI,NA,NA,5086265,243126,6,66,n1;n2;n3;n4;n5;n6;n194;n319;n320;n321;n333;n334;n335;n336;n337;g_325,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n138;n139;n140;n141;n142;g_325,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n334;n335;n336;n337;g_325,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n360;n361;n362;n363;g_325,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n424;n426;n427;g_325
326,g_326,GCF_002904185.1_ASM290418v1,GCF_002904185.1,GCF_002904185.1,ASM290418v1,P. odoriferum,OK,Q142,NA,NA,China,Asia,Apium graveolens,NA,2014,YuTian,NA,NA,NCBI,NA,NA,5083832,234313,6,69,n1;n2;n3;n4;n5;n6;n194;n319;n320;n321;n333;n334;n335;n336;n337;g_326,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n138;n139;n140;n141;g_326,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n334;n335;n336;n337;g_326,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n360;n361;n362;n363;g_326,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n424;n426;g_326
327,g_327,GCF_002904145.1_ASM290414v1,GCF_002904145.1,GCF_002904145.1,ASM290414v1,P. odoriferum,OK,T4,NA,NA,China,Asia,Chinese cabbage,NA,2010,Y.L. Ma,NA,NA,NCBI,NA,NA,5061459,248360,8,78,n1;n2;n3;n4;n5;n6;n194;n319;n320;g_327,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n138;n143;g_327,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n334;g_327,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n360;n365;g_327,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n411;g_327
328,g_328,GCF_002904125.1_ASM290412v1,GCF_002904125.1,GCF_002904125.1,ASM290412v1,P. odoriferum,OK,S6-2,NA,NA,China,Asia,Chinese cabbage,NA,2010,Y.L. Ma,NA,NA,NCBI,NA,NA,4867089,293785,5,45,n1;n2;n3;n4;n5;n6;n194;n319;n320;n321;n322;n323;n324;n325;n326;n327;g_328,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n127;n128;n129;n130;n131;n132;g_328,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n322;n323;n324;n325;n326;n327;n328;g_328,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n349;n350;n356;n357;n358;g_328,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n411;n412;n413;n414;n423;g_328
329,g_329,GCF_002904105.1_ASM290410v1,GCF_002904105.1,GCF_002904105.1,ASM290410v1,P. odoriferum,OK,Q115,NA,NA,China,Asia,Apium graveolens,NA,2014,YuTian,NA,NA,NCBI,NA,NA,5085540,234305,6,69,n1;n2;n3;n4;n5;n6;n194;n319;n320;n321;n333;n334;n335;n336;g_329,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n138;n139;n140;n141;n142;g_329,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n334;n335;n336;g_329,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n360;n361;n362;g_329,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n424;n426;n427;g_329
330,g_330,GCF_002904085.1_ASM290408v1,GCF_002904085.1,GCF_002904085.1,ASM290408v1,P. odoriferum,OK,Q106,NA,NA,China,Asia,Apium graveolens,NA,2014,YuTian,NA,NA,NCBI,NA,NA,5058220,264533,8,81,n1;n2;n3;n4;n5;n6;n194;n319;n320;n321;n322;n323;n324;n325;n326;g_330,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n127;n128;n129;n130;n131;g_330,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n322;n323;n324;n325;n326;n327;g_330,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n349;n350;n356;n357;g_330,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n411;n412;n413;g_330
331,g_331,GCF_002904055.1_ASM290405v1,GCF_002904055.1,GCF_002904055.1,ASM290405v1,P. odoriferum,OK,Q47,NA,NA,China,Asia,Apium graveolens,NA,2014,YuTian,NA,NA,NCBI,NA,NA,4922397,385345,5,49,n1;n2;n3;n4;n5;n6;n194;n319;n320;n321;n322;n323;n324;n328;g_331,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n127;n128;n129;n133;g_331,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n322;n323;n324;n325;n326;n329;g_331,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n349;n350;n356;n359;g_331,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n411;n412;n413;n414;n415;n416;n422;g_331
332,g_332,GCF_002904045.1_ASM290404v1,GCF_002904045.1,GCF_002904045.1,ASM290404v1,P. odoriferum,OK,Q32,NA,NA,China,Asia,celery,NA,2014,Y.L. Ma,NA,NA,NCBI,NA,NA,4972249,244760,6,68,n1;n2;n3;n4;n5;n6;n194;n319;n320;n321;n333;g_332,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n138;n143;g_332,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n322;n323;g_332,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n360;n365;g_332,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n411;n412;g_332
333,g_333,GCF_002904005.1_ASM290400v1,GCF_002904005.1,GCF_002904005.1,ASM290400v1,P. odoriferum,OK,Q3,NA,NA,China,Asia,Apium graveolens,NA,2014,YuTian,NA,NA,NCBI,NA,NA,5050068,241087,6,92,n1;n2;n3;n4;n5;n6;n194;n319;n320;n321;n322;n323;n324;n325;g_333,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n127;n128;n129;n130;g_333,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n322;n323;n324;n325;n330;g_333,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n349;n350;n351;n355;g_333,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n411;n412;n413;n414;n415;g_333
334,g_334,GCF_002904025.1_ASM290402v1,GCF_002904025.1,GCF_002904025.1,ASM290402v1,P. odoriferum,OK,Q40,NA,NA,China,Asia,celery,NA,2014,Y.L. Ma,NA,NA,NCBI,NA,NA,5144582,232262,6,69,n1;n2;n3;n4;n5;n6;n194;n319;n320;n321;n333;n334;g_334,n1;n453;n180;n179;n28;n29;n30;n31;n124;n125;n126;n138;n139;g_334,n1;n2;n3;n4;n5;n6;n7;n195;n320;n321;n334;n335;n338;g_334,n1;n453;n252;n199;n198;n197;n9;n8;n315;n347;n348;n360;n361;n364;g_334,n1;n453;n13;n12;n11;n10;n9;n8;n408;n410;n424;n425;g_334
335,g_335,GCF_002847345.1_ASM284734v1,GCF_002847345.1,GCF_002847345.1,ASM284734v1,P. peruviense,OK,IFB5232,NA,NA,United States,North America,NA,potato tuber,1979,NA,NA,type strain,NCBI,NA,single cell,4782556,199701,8,50,n1;n2;n3;n377;n430;n431;n432;n448;n449;g_335,n1;n453;n180;n181;n234;n235;n236;n252;n254;g_335,n1;n2;n3;n4;n378;n379;n380;n396;n397;g_335,n1;n453;n252;n253;n254;n255;n271;n273;g_335,n1;n453;n13;n12;n48;n101;n102;n118;n120;g_335
336,g_336,GCF_002804265.1_ASM280426v1,GCF_002804265.1,GCF_002804265.1,ASM280426v1,P. atrosepticum,OK,36A,NA,NA,Belarus,Europe,Solanum tuberosum,NA,1978,Anatoli Evtushenkov,NA,NA,NCBI,NA,cell culture,4965575,4965575,1,1,n1;n2;n3;n377;n430;n431;n432;n433;n434;n435;n436;n437;n438;n439;n440;n441;g_336,n1;n453;n180;n181;n234;n235;n236;n237;n238;n239;n240;n241;n242;n243;n244;n245;g_336,n1;n2;n3;n4;n378;n379;n380;n381;n382;n383;n384;n385;n386;n387;n388;n389;g_336,n1;n453;n252;n253;n254;n255;n256;n257;n258;n259;n260;n261;n262;n263;n264;g_336,n1;n453;n13;n12;n48;n101;n102;n103;n104;n105;n107;n108;n109;n110;n111;g_336
337,g_337,GCF_002764035.1_ASM276403v1,GCF_002764035.1,GCF_002764035.1,ASM276403v1,P. brasiliense,OK,BZA12,NA,NA,China,Asia,cucumber,NA,2015,NA,NA,NA,NCBI,NA,cell culture,4924809,4924809,1,1,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n77;n78;g_337,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n22;n21;n20;n19;n18;n17;n16;n15;n409;n410;g_337,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n76;n86;n87;g_337,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n86;n87;g_337,n1;n453;n13;n12;n11;n125;n126;n127;n128;n129;n130;n131;n132;n133;n134;n135;n136;n137;n192;n193;n194;g_337
338,g_338,GCF_002307355.1_ASM230735v1,GCF_002307355.1,GCF_002307355.1,ASM230735v1,P. polaris,OK,NIBIO1006,NA,NA,Norway,Europe,Solanum tuberosum,NA,2010,NA,NA,type strain,NCBI,NA,tissue sample,4826824,4826824,1,1,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n148;n149;n150;n151;n152;n153;n163;n164;g_338,n1;n453;n180;n179;n28;n27;n292;n293;n294;n304;n305;n306;g_338,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n150;n151;n152;n163;n164;n168;n169;g_338,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n152;n153;n154;n155;n156;n160;n161;g_338,n1;n453;n13;n12;n11;n125;n126;n266;n276;n277;n278;n279;n289;n290;g_338
339,g_339,GCF_002288545.1_ASM228854v1,GCF_002288545.1,GCF_002288545.1,ASM228854v1,P. polaris,OK,NIBIO1392,NA,NA,Norway,Europe,Solanum tuberosum,NA,2013,NA,NA,NA,NCBI,representative genome,tissue sample,5008416,5008416,1,1,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n148;n149;n150;n151;n152;n153;n154;n155;n156;n157;n158;n160;g_339,n1;n453;n180;n179;n28;n27;n292;n293;n294;n295;n296;n297;n298;n299;n300;g_339,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n150;n151;n152;n153;n154;n155;n156;n157;n159;g_339,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n152;n164;n165;n166;n167;n168;n169;n170;g_339,n1;n453;n13;n12;n11;n125;n126;n266;n276;n277;n278;n279;n280;n285;n286;g_339
340,g_340,GCF_002250255.1_Bf45_V1,GCF_002250255.1,GCF_002250255.1,Bf45_V1,P. brasiliense,renamed,BF45,NA,NA,Mexico,North America,Nicotiana sp.,NA,1997,Lourdes Rodriguez,Tobacco plantation,NA,NCBI,NA,Cell culture,4756069,115742,13,112,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n79;n80;n87;g_340,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n22;n21;n20;n19;n18;n17;n16;n400;n401;n408;g_340,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n76;n77;n78;n85;g_340,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n77;n78;n85;g_340,n1;n453;n13;n12;n11;n125;n126;n127;n128;n129;n130;n131;n132;n133;n134;n135;n136;n195;n196;n197;g_340
341,g_341,GCF_002250215.1_101_V1,GCF_002250215.1,GCF_002250215.1,101_V1,P. brasiliense,renamed,BF20,NA,NA,Mexico,North America,Opuntia ficus-indica,NA,1997,Hilda Silva,Semi-desertic,NA,NCBI,NA,Cell culture,4767145,106099,15,122,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n127;n128;n136;n137;n139;g_341,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n339;n340;n341;n342;g_341,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n129;n130;n131;n132;n138;g_341,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n133;n134;n135;n136;n141;g_341,n1;n453;n13;n12;n11;n125;n126;n127;n128;n248;n249;n250;n251;n261;g_341
342,g_342,GCF_002068115.1_ASM206811v1,GCF_002068115.1,GCF_002068115.1,ASM206811v1,P. brasiliense,OK,SX309,NA,NA,China,Asia,cucumber,NA,2015,NA,NA,NA,NCBI,NA,Cell culture,4966299,4966299,1,1,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n79;n80;n81;n85;n86;g_342,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n22;n21;n20;n19;n18;n17;n16;n400;n401;n402;n407;g_342,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n76;n77;n78;n79;n84;g_342,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n77;n78;n79;n84;g_342,n1;n453;n13;n12;n11;n125;n126;n127;n128;n129;n130;n131;n132;n133;n134;n135;n136;n195;n196;n198;n199;n200;g_342
343,g_343,GCF_001984535.1_ASM198453v1,GCF_001984535.1,GCF_001984535.1,ASM198453v1,P. actinidiae,OK,ICMP 19971,NA,NA,Republic of Korea,Asia,Actinidia,NA,2016,NA,NA,NA,NCBI,NA,bacteria,4891911,416728,5,50,n1;n2;n3;n4;n5;n339;n340;n341;g_343,n1;n453;n180;n179;n28;n29;n175;n176;n177;g_343,n1;n2;n3;n4;n5;n6;n340;n341;n342;g_343,n1;n453;n252;n199;n198;n197;n311;n312;n313;g_343,n1;n453;n13;n12;n11;n10;n312;n314;g_343
344,g_344,GCF_001984525.1_ASM198452v1,GCF_001984525.1,GCF_001984525.1,ASM198452v1,P. actinidiae,OK,ICMP 9972,NA,NA,Republic of Korea,Asia,Actinidia,NA,2016,NA,NA,NA,NCBI,NA,bacteria,4886946,401894,5,49,n1;n2;n3;n4;n5;n339;n340;n341;g_344,n1;n453;n180;n179;n28;n29;n175;n176;n177;g_344,n1;n2;n3;n4;n5;n6;n340;n341;g_344,n1;n453;n252;n199;n198;n197;n311;n312;n313;g_344,n1;n453;n13;n12;n11;n10;n312;n314;n315;g_344
345,g_345,GCF_001932635.1_ASM193263v1,GCF_001932635.1,GCF_001932635.1,ASM193263v1,P. brasiliense,OK,BC1,NA,NA,China,Asia,Chinese Cabbage,NA,2002,NA,plain,NA,NCBI,NA,NA,4920350,4920350,1,1,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n109;n110;n111;n112;n113;n114;g_345,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n22;n21;n20;n19;n18;n365;n366;n367;n368;n369;n370;g_345,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n88;n89;n111;n112;n113;n118;g_345,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n88;n89;n111;n112;n113;n114;n115;n116;g_345,n1;n453;n13;n12;n11;n125;n126;n127;n128;n129;n130;n131;n132;n133;n134;n135;n204;n210;n223;n229;n230;n231;n232;n233;g_345
346,g_346,GCF_900129615.1_IMG-taxon_2695420962_annotated_assembly,GCF_900129615.1,GCF_900129615.1,IMG-taxon_2695420962_annotated_assembly,P. carotovorum,OK,DSM 30168,NA,NA,NA,NA,NA,NA,NA,NA,NA,type strain,NCBI,NA,NA,4759459,380982,4,25,n1;n2;n3;n4;n5;n6;n194;n195;n196;n289;n290;n291;n292;n303;n304;n305;g_346,n1;n453;n180;n179;n28;n29;n30;n145;n146;n147;n148;n149;n150;n160;n161;n162;g_346,n1;n2;n3;n4;n5;n6;n7;n195;n196;n289;n290;n291;n292;n302;n303;n304;n305;g_346,n1;n453;n252;n199;n198;n197;n9;n8;n315;n316;n317;n318;n319;n329;n330;n331;n332;g_346,n1;n453;n13;n12;n11;n10;n9;n8;n7;n6;n5;n4;n441;n442;n443;g_346
347,g_347,GCF_001742145.1_ASM174214v1,GCF_001742145.1,GCF_001742145.1,ASM174214v1,P. parmentieri,OK,RNS 08-42-1A,NA,NA,France,Europe,NA,potato,2008,NA,temperate broadleaf forest,type strain,NCBI,NA,NA,5030841,5030841,1,1,n1;n2;n3;n377;n378;n379;n380;n408;n409;n410;n411;n412;n413;n414;g_347,n1;n453;n180;n181;n182;n183;n184;n185;n186;n206;n207;n208;n209;n210;n211;g_347,n1;n2;n3;n402;n403;n404;n405;n406;n425;n426;n427;n428;n429;n430;n431;g_347,n1;n453;n252;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n212;g_347,n1;n453;n13;n12;n48;n49;n62;n63;n64;n65;n87;n88;n89;n90;n91;n93;n94;g_347
348,g_348,GCF_000389755.1_Pa6276v1.0,GCF_000389755.1,GCF_000389755.1,Pa6276v1.0,P. atrosepticum,OK,CFBP 6276,NA,NA,France,Europe,Solanum tuberosum var. Felsina,stem,1999,NA,NA,NA,NCBI,NA,NA,4869432,3774599,1,4,n1;n2;n3;n377;n430;n431;n432;n433;n434;n435;n436;n437;n438;g_348,n1;n453;n180;n181;n234;n235;n236;n237;n238;n239;n240;n241;g_348,n1;n2;n3;n4;n378;n379;n380;n381;n382;n383;n384;n385;n386;n387;g_348,n1;n453;n252;n253;n254;n255;n256;n257;n258;n259;n260;n261;n262;g_348,n1;n453;n13;n12;n48;n101;n102;n103;n104;n105;n107;n108;n109;n110;n112;g_348
349,g_349,GCA_900005045.1_Polaris_6,GCA_900005045.1,GCA_900005045.1,Polaris_6,P. polaris,renamed,Polaris 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBI,NA,NA,4693172,37387,43,255,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n148;n149;n150;n151;n152;n153;n163;g_349,n1;n453;n180;n179;n28;n27;n292;n293;n294;n304;n305;g_349,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n150;n151;n152;n163;n164;n168;g_349,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n152;n153;n154;n155;n156;n160;g_349,n1;n453;n13;n12;n11;n125;n126;n266;n276;n277;n278;n279;n289;n290;n291;g_349
350,g_350,GCF_000260925.1_ASM26092v1,GCF_000260925.1,GCF_000260925.1,ASM26092v1,P. parmentieri,OK,SCC3193,NA,NA,Finland,Europe,NA,NA,NA,NA,NA,NA,NCBI,NA,NA,5164411,5164411,1,1,n1;n2;n3;n377;n378;n379;n380;n381;n382;n383;n384;n385;n390;g_350,n1;n453;n180;n181;n182;n183;n184;n185;n214;n215;g_350,n1;n2;n3;n402;n403;n404;n433;n434;n435;g_350,n1;n453;n252;n199;n200;n201;n202;n203;n232;n233;n234;g_350,n1;n453;n13;n12;n48;n49;n62;n63;n64;n65;n66;n67;n68;n69;n70;n71;g_350
351,g_351,GCF_000291725.1_PecWas1.0,GCF_000291725.1,GCF_000291725.1,PecWas1.0,P. wasabiae,OK,CFBP 3304,NA,NA,Finland,Europe,Eutrema japonicum,root,NA,NA,NA,type strain,NCBI,NA,NA,5149301,259694,8,73,n1;n2;n3;n377;n378;n379;n416;g_351,n1;n453;n180;n181;n182;n183;n184;n221;g_351,n1;n2;n3;n402;n403;n440;g_351,n1;n453;n252;n199;n200;n201;n202;n239;g_351,n1;n453;n13;n12;n48;n49;n62;n99;n100;g_351
352,g_352,GCF_001238575.1_ASM123857v1,GCF_001238575.1,GCF_001238575.1,ASM123857v1,P. brasiliense,OK,BD255,NA,NA,South Africa,Africa,Potato,NA,2011,NA,NA,NA,NCBI,NA,cell culture,4819835,1001875,2,32,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n127;n128;n129;n135;g_352,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n339;n340;n348;n354;g_352,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n129;n130;n131;n141;g_352,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n133;n134;n135;n144;g_352,n1;n453;n13;n12;n11;n125;n126;n127;n128;n248;n249;n250;n251;n252;n254;n255;g_352
353,g_353,GCF_000294535.1_ASM29453v1,GCF_000294535.1,GCF_000294535.1,ASM29453v1,P. brasiliense,renamed,PCC21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBI,NA,NA,4842771,4842771,1,1,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n58;n71;n72;n73;n74;g_353,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n22;n21;n20;n19;n18;n17;n16;n15;n14;n13;n413;n414;n415;n416;g_353,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n69;n70;n71;n72;n73;g_353,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n71;n72;n73;n74;g_353,n1;n453;n13;n12;n11;n125;n126;n127;n128;n129;n130;n131;n132;n133;n134;n135;n136;n137;n138;n139;n187;n188;n189;g_353
354,g_354,GCF_001039055.1_ASM103905v1,GCF_001039055.1,GCF_001039055.1,ASM103905v1,P. carotovorum,OK,ICMP 5702,NA,NA,Denmark,Europe,potato,NA,NA,NA,NA,type strain,NCBI,NA,DNA,4768473,448171,4,25,n1;n2;n3;n4;n5;n6;n194;n195;n196;n289;n290;n291;n292;n303;n304;g_354,n1;n453;n180;n179;n28;n29;n30;n145;n146;n147;n148;n149;n150;n160;n161;n162;n163;g_354,n1;n2;n3;n4;n5;n6;n7;n195;n196;n289;n290;n291;n292;n302;n303;n304;g_354,n1;n453;n252;n199;n198;n197;n9;n8;n315;n316;n317;n318;n319;n329;n330;n331;g_354,n1;n453;n13;n12;n11;n10;n9;n8;n7;n6;n5;n4;n441;n442;g_354
355,g_355,GCF_001039065.1_ASM103906v1,GCF_001039065.1,GCF_001039065.1,ASM103906v1,P. peruviense,OK,UGC32,NA,NA,Peru,South America,potato,NA,NA,NA,NA,NA,NCBI,representative genome,DNA,4795941,307291,6,22,n1;n2;n3;n377;n430;n431;n432;n448;n449;g_355,n1;n453;n180;n181;n234;n235;n236;n252;n254;g_355,n1;n2;n3;n4;n378;n379;n380;n396;n397;g_355,n1;n453;n252;n253;n254;n255;n271;n273;g_355,n1;n453;n13;n12;n48;n101;n102;n118;n120;g_355
356,g_356,GCF_001038675.1_ASM103867v1,GCF_001038675.1,GCF_001038675.1,ASM103867v1,P. brasiliense,OK,ICMP 19477,NA,NA,New Zealand,Oceania,NA,potato,2004,NA,NA,NA,NCBI,NA,NA,4973512,1120187,2,16,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n127;n128;n136;n137;n138;g_356,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n339;n340;n341;n342;n343;n344;g_356,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n129;n143;n144;g_356,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n133;n134;n135;n136;n141;n142;n143;g_356,n1;n453;n13;n12;n11;n125;n126;n127;n128;n248;n249;n250;n264;g_356
357,g_357,GCF_000808195.1_ASM80819v1,GCF_000808195.1,GCF_000808195.1,ASM80819v1,P. brasiliense,OK,Y64,NA,NA,China,Asia,Brassica rapa ssp. chinensis,infected leaves,2013,NA,NA,NA,NCBI,NA,whole organism,4816280,408698,3,15,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n79;n80;n81;n82;g_357,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n22;n21;n20;n19;n18;n17;n16;n400;n401;n402;n403;n404;g_357,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n76;n77;n78;n79;n80;n83;g_357,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n77;n78;n79;n80;n83;g_357,n1;n453;n13;n12;n11;n125;n126;n127;n128;n129;n130;n131;n132;n133;n134;n135;n136;n195;n196;n198;n201;g_357
